ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
106,94,17,2024-02-25,2,"Average experience, nothing special.",-0.3089,Negative,Negative
107,26,10,2025-02-17,5,Five stars for  the quick delivery.,0.0,Positive,Neutral
108,80,17,2023-12-22,5,Five stars for the  quick delivery.,0.0,Positive,Neutral
109,38,10,2023-07-25,4,Customer support was very helpful.,0.6997,Positive,Very Positive
110,54,12,2024-08-02,4,Customer  support was very helpful.,0.6997,Positive,Very Positive
111,43,7,2023-11-05,4,Five stars for the quick delivery.,0.0,Positive,Neutral
112,87,3,2023-05-26,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
113,27,9,2024-03-31,2,Disappointed with the performance.,-0.4767,Negative,Negative
114,52,19,2025-05-04,2,"Average experience, nothing special.",-0.3089,Negative,Negative
115,82,9,2023-09-28,4,Five stars for the quick delivery.,0.0,Positive,Neutral
116,70,18,2023-07-23,4,The quality is top-notch.,0.0,Positive,Neutral
117,20,14,2025-04-19,4,Customer support was very helpful.,0.6997,Positive,Very Positive
118,59,6,2024-05-01,1,The product arrived late.,0.0,Negative,Neutral
119,34,5,2025-09-06,4,"Great purchase, very  satisfied.",0.8016,Positive,Very Positive
120,3,20,2024-08-18,4,The quality is top-notch.,0.0,Positive,Neutral
121,91,1,2025-11-02,2,"Good quality, but could be cheaper.",0.2382,Positive,Positive
122,83,14,2024-09-27,2,Not worth the money.,-0.1695,Negative,Neutral
123,93,1,2025-09-22,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
124,36,16,2023-07-17,5,Customer support was very helpful.,0.6997,Positive,Very Positive
125,55,11,2025-12-20,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
126,32,10,2024-08-12,5,Exceeded my expectations!,0.0,Positive,Neutral
127,47,8,2025-03-25,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
128,71,20,2023-12-13,2,"Average experience, nothing special.",-0.3089,Negative,Negative
129,46,13,2025-02-14,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
130,88,3,2025-09-22,5,"Great  purchase, very satisfied.",0.8016,Positive,Very Positive
131,42,5,2023-06-16,5,Amazing value for the price.,0.7351,Positive,Very Positive
132,21,7,2025-11-13,2,Product did not meet my expectations.,0.0,Negative,Neutral
133,40,4,2025-05-24,4,The quality is top-notch.,0.0,Positive,Neutral
134,74,4,2024-03-27,3,"Good quality, but could  be cheaper.",0.2382,Positive,Positive
135,48,14,2023-06-08,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
136,17,3,2025-03-27,5,Amazing value for  the price.,0.7351,Positive,Very Positive
137,88,6,2023-03-02,4,"Good quality, but could  be cheaper.",0.2382,Positive,Positive
138,28,15,2023-01-18,5,Five stars for the quick delivery.,0.0,Positive,Neutral
139,36,16,2023-04-20,4,Customer support was very helpful.,0.6997,Positive,Very Positive
140,53,18,2023-12-03,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
141,98,9,2024-10-15,5,Amazing value for the  price.,0.7351,Positive,Very Positive
142,15,7,2023-08-04,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
143,3,12,2023-04-12,3,"Average experience, nothing special.",-0.3089,Negative,Negative
144,27,15,2025-08-16,4,The build quality is impressive.,0.5106,Positive,Positive
145,27,10,2024-03-05,3,"The  product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
146,5,13,2025-01-09,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
147,100,20,2025-01-25,2,"Average experience, nothing special.",-0.3089,Negative,Negative
148,17,18,2024-11-05,1,"Average experience, nothing special.",-0.3089,Negative,Negative
149,50,3,2023-12-20,4,The quality is top-notch.,0.0,Positive,Neutral
150,4,15,2024-06-18,5,"I love this product, will buy  again!",0.6696,Positive,Very Positive
151,21,19,2023-10-30,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
152,32,16,2025-12-15,3,"Good quality, but  could be cheaper.",0.2382,Positive,Positive
153,95,11,2023-11-06,5,Amazing value for the price.,0.7351,Positive,Very Positive
154,3,12,2023-12-19,4,The quality is top-notch.,0.0,Positive,Neutral
155,89,3,2025-12-10,4,Customer support was very helpful.,0.6997,Positive,Very Positive
156,5,7,2025-01-26,5,The build quality is impressive.,0.5106,Positive,Positive
157,10,17,2025-10-14,2,The product arrived late.,0.0,Negative,Neutral
158,37,2,2024-04-16,5,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
159,23,12,2023-09-01,5,"I love this product,  will buy again!",0.6696,Positive,Very Positive
160,71,9,2024-01-02,2,Not worth the money.,-0.1695,Negative,Neutral
161,9,18,2025-08-05,2,The product arrived  late.,0.0,Negative,Neutral
162,64,20,2023-07-25,3,"Average experience, nothing special.",-0.3089,Negative,Negative
163,89,7,2023-05-27,5,The quality is top-notch.,0.0,Positive,Neutral
164,25,19,2024-03-16,2,Product did not  meet my expectations.,0.0,Negative,Neutral
165,97,3,2025-06-03,4,The quality is top-notch.,0.0,Positive,Neutral
166,87,3,2023-11-01,3,"Good  quality, but could be cheaper.",0.2382,Positive,Positive
167,28,16,2023-08-02,2,Product did not meet  my expectations.,0.0,Negative,Neutral
168,72,2,2025-12-13,3,Customer support was very helpful.,0.6997,Positive,Very Positive
169,26,8,2025-09-28,5,Five stars for the quick  delivery.,0.0,Positive,Neutral
170,53,13,2024-06-23,5,The build quality is impressive.,0.5106,Positive,Positive
171,2,16,2024-02-16,3,Not worth the money.,-0.1695,Negative,Neutral
172,79,2,2024-11-23,3,Not worth the money.,-0.1695,Negative,Neutral
173,15,16,2025-05-30,5,Customer support was very helpful.,0.6997,Positive,Very Positive
174,91,8,2024-06-23,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
175,3,6,2024-11-02,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
176,21,11,2023-11-23,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
177,93,19,2025-07-03,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
178,17,20,2025-05-25,4,The quality is  top-notch.,0.0,Positive,Neutral
179,46,20,2025-11-26,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
180,77,5,2023-03-08,4,"Great purchase,  very satisfied.",0.8016,Positive,Very Positive
181,4,3,2024-08-09,4,The build quality is impressive.,0.5106,Positive,Positive
182,21,11,2024-03-08,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
183,13,5,2025-06-08,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
184,59,5,2024-12-29,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
185,8,6,2023-11-13,2,Product did not meet my expectations.,0.0,Negative,Neutral
186,22,13,2023-02-17,4,The quality is top-notch.,0.0,Positive,Neutral
187,58,18,2025-05-01,4,The quality is top-notch.,0.0,Positive,Neutral
188,70,5,2025-09-19,5,Exceeded my expectations!,0.0,Positive,Neutral
189,83,7,2025-03-13,2,The product  arrived late.,0.0,Negative,Neutral
190,83,3,2023-08-10,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
191,68,3,2024-09-05,4,"Great purchase,  very satisfied.",0.8016,Positive,Very Positive
192,42,17,2023-08-04,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
193,84,20,2024-06-21,3,"The product is okay, but the instructions were  unclear.",-0.2617,Negative,Negative
194,7,7,2025-05-19,1,The product arrived late.,0.0,Negative,Neutral
195,75,5,2023-10-25,5,Amazing value for the price.,0.7351,Positive,Very Positive
196,91,2,2023-10-29,3,"Average experience, nothing special.",-0.3089,Negative,Negative
197,51,15,2024-11-27,4,"I love this product,  will buy again!",0.6696,Positive,Very Positive
198,57,8,2023-08-27,5,Five stars for the quick delivery.,0.0,Positive,Neutral
199,6,13,2024-08-20,5,The  quality is top-notch.,0.0,Positive,Neutral
200,30,17,2025-01-09,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
201,59,6,2023-05-23,2,Not worth the money.,-0.1695,Negative,Neutral
202,33,9,2023-09-06,5,Amazing value for the price.,0.7351,Positive,Very Positive
203,66,18,2023-11-22,3,"Average experience, nothing special.",-0.3089,Negative,Negative
204,95,14,2024-11-29,4,"Great purchase, very  satisfied.",0.8016,Positive,Very Positive
205,88,12,2023-04-06,5,Amazing value for the price.,0.7351,Positive,Very Positive
206,72,14,2023-08-22,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
207,95,18,2025-06-07,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
208,94,8,2023-03-25,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
209,70,8,2025-11-05,3,"Average experience, nothing special.",-0.3089,Negative,Negative
210,28,1,2023-12-10,2,The product arrived late.,0.0,Negative,Neutral
211,84,12,2025-03-07,4,Five stars for the quick delivery.,0.0,Positive,Neutral
212,87,10,2023-01-03,1,"Terrible customer service, would not buy again.",-0.4767,Negative,Negative
213,7,13,2024-04-09,5,Shipping was fast and  the item was well-packaged.,0.0,Positive,Neutral
214,53,18,2025-04-13,3,Five stars for the quick delivery.,0.0,Neutral,Neutral
215,55,10,2024-01-07,2,Product did not meet my expectations.,0.0,Negative,Neutral
216,49,7,2023-11-14,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
217,62,11,2023-08-19,5,Amazing value  for the price.,0.7351,Positive,Very Positive
218,35,8,2024-09-14,4,The quality is top-notch.,0.0,Positive,Neutral
219,90,9,2023-02-18,4,Five stars for the quick delivery.,0.0,Positive,Neutral
220,78,9,2025-08-12,2,Disappointed with the performance.,-0.4767,Negative,Negative
221,26,2,2024-10-21,4,The build quality is impressive.,0.5106,Positive,Positive
222,54,14,2024-02-28,5,Customer support was very helpful.,0.6997,Positive,Very Positive
223,37,16,2023-07-31,5,Exceeded my expectations!,0.0,Positive,Neutral
224,68,15,2023-03-27,4,"Great purchase,  very satisfied.",0.8016,Positive,Very Positive
225,80,1,2025-09-08,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
226,60,9,2023-08-23,2,The product arrived late.,0.0,Negative,Neutral
227,74,11,2024-08-10,4,"Good  quality, but could be cheaper.",0.2382,Positive,Positive
228,20,19,2025-10-23,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
229,69,12,2023-02-07,4,The  quality is top-notch.,0.0,Positive,Neutral
230,54,11,2023-10-19,2,The product arrived late.,0.0,Negative,Neutral
231,15,16,2025-04-15,5,Five stars for the quick delivery.,0.0,Positive,Neutral
232,17,3,2025-10-11,5,Five stars for the quick delivery.,0.0,Positive,Neutral
233,81,4,2024-11-14,2,The product arrived late.,0.0,Negative,Neutral
234,80,9,2023-03-06,5,The build quality is impressive.,0.5106,Positive,Positive
235,54,3,2024-03-18,4,Customer support was very helpful.,0.6997,Positive,Very Positive
236,55,16,2025-03-03,5,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
237,44,2,2025-09-29,4,The quality is top-notch.,0.0,Positive,Neutral
238,47,9,2023-04-18,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
239,45,9,2024-01-28,5,Exceeded my expectations!,0.0,Positive,Neutral
240,20,16,2024-11-09,5,Five stars for the quick delivery.,0.0,Positive,Neutral
241,61,15,2024-04-22,4,Five stars for the quick delivery.,0.0,Positive,Neutral
242,20,20,2025-06-07,4,The quality is top-notch.,0.0,Positive,Neutral
243,24,11,2023-02-17,1,I had a bad experience with this product.,-0.5423,Negative,Negative
244,36,4,2023-08-25,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
245,50,3,2023-03-23,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
246,71,12,2023-07-23,4,The  quality is top-notch.,0.0,Positive,Neutral
247,28,6,2025-11-24,5,"Excellent product, highly  recommend!",0.7773,Positive,Very Positive
248,81,6,2023-07-15,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
249,75,2,2023-01-04,1,"Not  satisfied, the product broke after a week.",-0.6288,Negative,Very Negative
250,22,11,2023-09-21,1,The product stopped working after a month.,-0.2263,Negative,Negative
251,16,2,2024-02-01,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
252,6,6,2025-03-18,5,The build quality is  impressive.,0.5106,Positive,Positive
253,75,15,2024-08-03,3,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
254,30,19,2025-12-31,3,"Average experience, nothing special.",-0.3089,Negative,Negative
255,13,16,2024-01-23,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
256,91,3,2024-02-11,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
257,84,13,2023-10-03,3,"Average experience, nothing  special.",-0.3089,Negative,Negative
258,34,7,2025-05-13,4,"Great  purchase, very satisfied.",0.8016,Positive,Very Positive
259,75,2,2023-08-24,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
260,44,18,2024-03-07,3,"Average experience, nothing special.",-0.3089,Negative,Negative
261,29,12,2024-10-15,4,Customer support was very helpful.,0.6997,Positive,Very Positive
262,45,7,2024-07-07,5,Five stars for  the quick delivery.,0.0,Positive,Neutral
263,47,8,2024-10-21,4,Customer support was very helpful.,0.6997,Positive,Very Positive
264,96,18,2025-08-19,4,Shipping was fast and the  item was well-packaged.,0.0,Positive,Neutral
265,22,19,2024-05-14,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
266,62,5,2025-02-22,5,"Excellent product,  highly recommend!",0.7773,Positive,Very Positive
267,55,19,2023-12-01,3,"The product is  okay, but the instructions were unclear.",-0.2617,Negative,Negative
268,98,17,2023-10-28,5,The build quality  is impressive.,0.5106,Positive,Positive
269,75,4,2023-11-18,4,The quality is top-notch.,0.0,Positive,Neutral
270,46,6,2023-09-25,1,The color was different from what was shown.,0.0,Negative,Neutral
271,21,17,2025-08-08,5,The  build quality is impressive.,0.5106,Positive,Positive
272,39,17,2023-03-26,5,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
273,10,2,2024-10-09,5,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
274,93,11,2023-04-07,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
275,45,12,2023-04-03,4,Five stars for the quick delivery.,0.0,Positive,Neutral
276,86,1,2025-01-29,5,The quality is top-notch.,0.0,Positive,Neutral
277,22,6,2025-03-21,4,The quality is top-notch.,0.0,Positive,Neutral
278,80,20,2023-03-01,5,Amazing value for the price.,0.7351,Positive,Very Positive
279,86,5,2023-07-21,5,Customer support was very helpful.,0.6997,Positive,Very Positive
280,68,19,2023-11-09,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
281,71,5,2025-11-19,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
282,59,5,2023-02-17,3,"Average experience, nothing special.",-0.3089,Negative,Negative
283,87,13,2023-02-14,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
284,89,13,2023-09-01,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
285,29,3,2023-08-25,4,"Good quality, but could  be cheaper.",0.2382,Positive,Positive
286,53,16,2023-05-04,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
287,75,6,2025-02-14,5,"I love this product, will  buy again!",0.6696,Positive,Very Positive
288,68,17,2024-06-21,5,"Excellent product, highly recommend!",0.7773,Positive,Very Positive
289,87,15,2023-10-04,5,Customer support was  very helpful.,0.6997,Positive,Very Positive
290,20,14,2024-09-23,2,"Average experience, nothing special.",-0.3089,Negative,Negative
291,17,7,2025-12-06,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
292,15,7,2025-10-19,5,Customer support was very helpful.,0.6997,Positive,Very Positive
293,25,13,2023-02-14,3,Not worth  the money.,-0.1695,Negative,Neutral
294,63,13,2023-11-09,3,Not worth the money.,-0.1695,Negative,Neutral
295,61,6,2024-10-13,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
296,85,18,2023-12-13,4,The  quality is top-notch.,0.0,Positive,Neutral
297,92,16,2023-08-06,3,"Average experience, nothing special.",-0.3089,Negative,Negative
298,41,15,2025-06-13,4,Five stars for the quick delivery.,0.0,Positive,Neutral
299,93,13,2024-02-01,1,Product did not meet my expectations.,0.0,Negative,Neutral
300,22,18,2023-05-09,2,Disappointed with the performance.,-0.4767,Negative,Negative
301,6,7,2023-05-30,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
302,64,19,2024-10-08,5,The quality is top-notch.,0.0,Positive,Neutral
303,20,10,2024-04-25,4,"Great purchase, very satisfied.",0.8016,Positive,Very Positive
304,66,14,2023-02-01,3,"Average  experience, nothing special.",-0.3089,Negative,Negative
305,87,7,2023-08-25,4,Customer support was very helpful.,0.6997,Positive,Very Positive
306,52,8,2025-07-19,3,"Average experience, nothing special.",-0.3089,Negative,Negative
307,63,16,2025-01-08,5,Exceeded my expectations!,0.0,Positive,Neutral
308,90,14,2023-04-02,5,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
309,70,11,2023-02-02,3,"Good quality, but could be cheaper.",0.2382,Positive,Positive
310,40,1,2024-11-30,5,Exceeded my expectations!,0.0,Positive,Neutral
311,52,11,2023-11-14,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
312,90,3,2023-11-05,2,The product arrived late.,0.0,Negative,Neutral
313,13,3,2024-01-14,4,"I  love this product, will buy again!",0.6696,Positive,Very Positive
314,22,17,2025-10-06,2,Product did not meet my expectations.,0.0,Negative,Neutral
315,32,7,2025-06-13,4,The quality is top-notch.,0.0,Positive,Neutral
316,48,4,2025-08-15,5,Five stars for the quick  delivery.,0.0,Positive,Neutral
317,15,6,2023-08-04,3,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Negative
318,97,4,2023-12-15,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
319,86,6,2024-12-11,5,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral
320,79,17,2023-02-24,4,The quality is top-notch.,0.0,Positive,Neutral
321,58,12,2024-04-17,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
322,76,13,2024-12-01,4,"Great  purchase, very satisfied.",0.8016,Positive,Very Positive
323,47,4,2023-04-24,4,Shipping was  fast and the item was well-packaged.,0.0,Positive,Neutral
324,89,5,2024-07-08,4,Shipping was fast and the item  was well-packaged.,0.0,Positive,Neutral
325,78,6,2023-04-17,4,"Good quality, but could be cheaper.",0.2382,Positive,Positive
326,17,14,2024-06-15,4,The quality is top-notch.,0.0,Positive,Neutral
327,95,8,2023-08-25,4,The quality is top-notch.,0.0,Positive,Neutral
328,100,13,2024-02-20,2,Not worth the money.,-0.1695,Negative,Neutral
329,6,9,2024-12-07,3,The quality is top-notch.,0.0,Neutral,Neutral
330,22,14,2023-03-18,4,The quality is top-notch.,0.0,Positive,Neutral
331,68,4,2023-08-17,5,"I love this product, will buy again!",0.6696,Positive,Very Positive
332,2,10,2024-11-06,5,The build quality is impressive.,0.5106,Positive,Positive
333,87,5,2024-06-02,4,"I love this product, will buy again!",0.6696,Positive,Very Positive
